,uuid,name,dob,sex,job_id,num_course_taken,current_career_path_id,time_spent_hrs,age,age_group,email,street,city,state,zip_code,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
0,1,Annabelle Avery,1943-07-03 00:00:00,F,7.0,6.0,1.0,4.99,81,80,annabelle_avery9376@woohoo.com,303 N Timber Key, Irondale, Wisconsin, 84736,1,data scientist,20,HR,80000
1,2,Micah Rubio,1991-02-07 00:00:00,M,7.0,5.0,8.0,4.4,34,30,rubio6772@hmail.com,767 Crescent Fair, Shoals, Indiana, 37439,8,android developer,27,HR,80000
2,3,Hosea Dale,1989-12-07 00:00:00,M,7.0,8.0,8.0,6.74,35,30,hosea_dale8084@coldmail.com,P.O. Box 41269, St. Bonaventure, Virginia, 83637,8,android developer,27,HR,80000
3,4,Mariann Kirk,1988-07-31 00:00:00,F,6.0,7.0,9.0,12.31,36,30,kirk4005@hmail.com,517 SE Wintergreen Isle, Lane, Arkansas, 82242,9,machine learning engineer,35,education,61000
4,5,Lucio Alexander,1963-08-31 00:00:00,M,7.0,14.0,3.0,5.64,61,60,alexander9810@hmail.com,18 Cinder Cliff, Doyles borough, Rhode Island, 73737,3,data analyst,12,HR,80000
5,6,Shavonda Mcmahon,1989-10-15 00:00:00,F,6.0,10.0,3.0,10.12,35,30,shavonda5863@coldmail.com,P.O. Box 81591, Tarpon Springs, Montana, 37057,3,data analyst,12,education,61000
6,7,Terrell Bleijenberg,1959-05-05 00:00:00,M,2.0,9.0,8.0,24.17,65,60,bleijenberg188@hmail.com,P.O. Box 53471, Oskaloosa, Virginia, 85274,8,android developer,27,engineer,101000
7,8,Stanford Allan,1997-11-22 00:00:00,M,3.0,3.0,1.0,19.54,27,20,stanford_allan8055@coldmail.com,255 Spring Avenue, Point Baker, Texas, 15796,1,data scientist,20,software developer,110000
8,9,Tricia Delacruz,1961-10-20 00:00:00,F,1.0,6.0,9.0,1.75,63,60,tricia_delacruz6622@woohoo.com,997 Dewy Apple, Lake Lindsey, Washington, 78266,9,machine learning engineer,35,analytics,86000
9,10,Regenia van der Helm,1999-02-23 00:00:00,N,5.0,7.0,6.0,13.55,26,20,regenia6908@inlook.com,220 Middle Ridge, Falcon Heights, New Mexico, 46971,6,frontend engineer,20,financial services,135000
10,11,Shonda Stephanin,1998-10-24 00:00:00,F,7.0,5.0,10.0,12.61,26,20,shonda_stephanin4439@coldmail.com,818 Clear Street, Rockwood, Maine, 14372,10,ux/ui designer,15,HR,80000
11,12,Marcus Mcfarland,1977-05-29 00:00:00,M,7.0,3.0,6.0,9.12,47,40,mcfarland1396@woohoo.com,718 Embers Lane, Dale, South Carolina, 19186,6,frontend engineer,20,HR,80000
12,13,Edwardo Boonzayer,1975-05-23 00:00:00,N,2.0,15.0,5.0,6.09,49,40,edwardo8281@inlook.com,147 SW Plain, Solana Beach, Kansas, 01794,5,backend engineer,18,engineer,101000
13,14,Robena Padilla,1969-01-15 00:00:00,F,3.0,5.0,9.0,15.92,56,50,robena_padilla1477@hmail.com,P.O. Box 73926, McLemoresville, Maryland, 57372,9,machine learning engineer,35,software developer,110000
14,15,Tamala Sears,1942-06-01 00:00:00,F,7.0,13.0,1.0,4.64,82,80,tamala4408@woohoo.com,868 Hazy Crossing, Bethania, Washington, 08205,1,data scientist,20,HR,80000
15,16,Norene Dalton,1976-04-30 00:00:00,F,6.0,0.0,0.0,0.0,48,40,norene_dalton9509@hmail.com,130 Wishing Essex, Branch, Ohio, 13616,0,not applicable,0,education,61000
16,17,Maris Benskoop,1965-08-10 00:00:00,F,5.0,5.0,4.0,12.08,59,50,maris5817@hmail.com,P.O. Box 93831, South Mountain, Washington, 02481,4,software engineering,25,financial services,135000
17,18,Yolande van Hees,1978-12-09 00:00:00,F,7.0,13.0,9.0,34.44,46,40,vanhees6330@woohoo.com,460 Dusty Kennedy Cove, McBaine, New Jersey, 41490,9,machine learning engineer,35,HR,80000
18,19,Dominic Werner,1973-09-29 00:00:00,M,5.0,14.0,8.0,22.84,51,50,werner3867@coldmail.com,P.O. Box 70430, Laramie, Nevada, 56963,8,android developer,27,financial services,135000
19,20,Sofia van Steenbergen,1990-02-21 00:00:00,N,7.0,13.0,0.0,0.0,35,30,vansteenbergen8482@inlook.com,634 Clear Barn Dell, Beaman, Georgia, 33288,0,not applicable,0,HR,80000
20,21,Toney Villarreal,1993-06-04 00:00:00,M,4.0,4.0,3.0,4.3,31,30,villarreal2146@woohoo.com,P.O. Box 22286, Leisure Village, South Carolina, 22326,3,data analyst,12,creative,66000
21,22,Clayton Lamb,1963-02-02 00:00:00,M,2.0,8.0,6.0,2.86,62,60,lamb2933@woohoo.com,601 Old Oak Village, Binger, Connecticut, 29228,6,frontend engineer,20,engineer,101000
22,23,Isabel van Erven,1973-06-11 00:00:00,F,6.0,9.0,5.0,7.02,51,50,isabel9601@coldmail.com,863 Seventh Boulevard, Marianna, Indiana, 01611,5,backend engineer,18,education,61000
23,24,Eartha Weeks,1954-12-05 00:00:00,F,7.0,2.0,1.0,9.86,70,70,eartha_weeks7248@hmail.com,192 Cedar Vale, Hersey village, Illinois, 68184,1,data scientist,20,HR,80000
24,25,Eloy Limmink,1998-01-07 00:00:00,M,3.0,10.0,3.0,10.24,27,20,eloy_limmink6109@coldmail.com,103 Sunny Rapid Parade, Marshfield, Delaware, 13122,3,data analyst,12,software developer,110000
25,28,Lexie Rowland,1942-08-30 00:00:00,F,4.0,14.0,3.0,8.74,82,80,rowland6740@hmail.com,33 High Cider Skyway, Inglewood, Mississippi, 22019,3,data analyst,12,creative,66000
26,29,Edgardo Chavez,1946-02-12 00:00:00,M,7.0,12.0,5.0,12.98,79,70,edgardo9341@woohoo.com,758 Green Butterfly Gateway, Crescentvillage, Maine, 81750,5,backend engineer,18,HR,80000
27,30,Bettyann Klarenbos,1950-11-05 00:00:00,F,1.0,9.0,9.0,21.45,74,70,bettyann_klarenbos7887@coldmail.com,838 Horse Dam, Westmorland, Alabama, 31955,9,machine learning engineer,35,analytics,86000
28,31,Christoper Warner,1989-12-28 00:00:00,M,2.0,5.0,0.0,0.0,35,30,warner5906@coldmail.com,556 Stony Highlands, Drain, Illinois, 01973,0,not applicable,0,engineer,101000
29,32,Antwan Villegas,1976-06-11 00:00:00,M,7.0,3.0,3.0,3.39,48,40,antwan_villegas3074@woohoo.com,P.O. Box 75909, Closter borough, Montana, 06529,3,data analyst,12,HR,80000
30,33,Madelene Poole,1978-11-25 00:00:00,F,6.0,13.0,7.0,6.93,46,40,madelene9077@inlook.com,797 Horse Terrace, Bonsall, Vermont, 93588,7,iOS developer,27,education,61000
31,34,Dion Donaldson,1947-02-21 00:00:00,M,3.0,15.0,4.0,9.69,78,70,dion_donaldson674@inlook.com,P.O. Box 99080, Horse Cave, Idaho, 68425,4,software engineering,25,software developer,110000
32,35,Gerry Moss,1993-03-01 00:00:00,F,3.0,5.0,3.0,3.91,32,30,moss3407@inlook.com,74 Broad Gate Hollow, Crystal Lakes, New York, 38056,3,data analyst,12,software developer,110000
33,36,Natalie Goff,1978-01-17 00:00:00,F,6.0,0.0,2.0,10.65,47,40,natalie2200@inlook.com,961 Squaw Crest, Bonner Springs, Nebraska, 76506,2,data engineer,20,education,61000
34,37,Ellis Leblanc,1998-10-19 00:00:00,M,2.0,8.0,9.0,22.62,26,20,leblanc1665@coldmail.com,185 Cloud Promenade, Montreal, Georgia, 62218,9,machine learning engineer,35,engineer,101000
